Sat Mar 15 20:59:31 CST 2025 | 123456789 | AUTH | SUCCESS | 0
Sat Mar 15 21:01:16 CST 2025 | 123456789 | WDRA | SUCCESS | 300
Sat Mar 15 21:06:42 CST 2025 | 123456789 | AUTH | SUCCESS | 0
Sat Mar 15 21:06:52 CST 2025 | 123456789 | WDRA | SUCCESS | 100
Sat Mar 15 21:10:05 CST 2025 | 123456789 | AUTH | SUCCESS | 0
Sat Mar 15 21:10:11 CST 2025 | 123456789 | WDRA | FAIL | 1222323
Sat Mar 15 21:10:15 CST 2025 | 123456789 | WDRA | SUCCESS | 200
Sat Mar 15 21:15:22 CST 2025 | 123456789 | AUTH | FAIL | 0
Sat Mar 15 21:18:39 CST 2025 | 123456789 | AUTH | SUCCESS | 0
Sat Mar 15 21:21:25 CST 2025 | 123456789 | AUTH | FAIL | 0
Sat Mar 15 21:21:55 CST 2025 | 123456789 | AUTH | FAIL | 0
